coverage_family,row_id,product_id,disease_key,generic_name,status,rx_ready,missing_fields,next_action
regimen,gold_regimen_b91d5c5baade,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_bc70d5764560,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_7af69c4b2e21,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_a3261d3e00d6,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_ebfa4bdb1694,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_bf74152d4e17,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_0d9616be2635,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_07e572a9480c,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_7cdacd71e777,BDS003762,uri_wet_cough_adult,Paracetamol 500 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_08cd83539302,BDS045630,uri_wet_cough_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_ad306dae5b14,BDS002655,uri_wet_cough_adult,Ambroxol HCl 30 mg.,not_fully_verified,False,indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_5753d9230be6,BDS002901,uri_wet_cough_adult,Acetylcysteine 600 mg.,not_fully_verified,False,indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
