allergy_alternative,antibiotic_gate_id,antibiotic_gate_ready,avoid_if,bacterial_criteria_required,criteria_text,disease_key,duration_rule,final_antibiotic_status,gate_logic,generic_name,line_of_therapy,major_interactions,not_for_viral_use,pediatric_caution,pregnancy_caution,product_id,renal_caution,source_ids,accredited_source_status,missing_accredited_fields,next_action
,abx_2370fb9c216f,False,,True,,tinea_pruritic_rash_adult,7 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,RX1,,False,,,BDS001491,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_1bab4edd5066,False,,True,,tinea_pruritic_rash_adult,7 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,RX1,,False,,,BDS001491,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_44e7c71f1ae1,False,,True,,tinea_pruritic_rash_adult,7 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,RX1,,False,,,BDS001491,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_23d089b85e8a,False,,True,,minor_skin_infection_topical_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,RX1,,False,,,BDS002003,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_ddef0e7db73d,False,,True,,minor_skin_infection_topical_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,RX1,,False,,,BDS002003,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_45f4c0a6e2e7,False,,True,,minor_skin_infection_topical_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,RX1,,False,,,BDS002003,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_eac4cee4df2a,False,,True,,bacterial_sinusitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,RX1,,False,,,BDS001103,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_e3f68b863cd6,False,,True,,bacterial_sinusitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,RX1,,False,,,BDS001103,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_3c3842cf9350,False,,True,,bacterial_sinusitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,RX1,,False,,,BDS001103,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_c0f6f4da2637,False,,True,,bacterial_pharyngitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,RX1,,False,,,BDS002201,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_ede41e3b334c,False,,True,,bacterial_pharyngitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,RX1,,False,,,BDS002201,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_29b783d1afb4,False,,True,,bacterial_pharyngitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,RX1,,False,,,BDS002201,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_7a71ecd2bdcf,False,,True,,tinea_corporis_localized_adult,7–14 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,RX1,,False,,,BDS001491,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_01d82e7f8f3d,False,,True,,tinea_corporis_localized_adult,7–14 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,RX1,,False,,,BDS001491,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_a664e1a56fde,False,,True,,tinea_corporis_localized_adult,7–14 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,RX1,,False,,,BDS001491,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
,abx_08f16c9b9d08,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,RX1,,False,,,BDS002003,,,blocked_pending_antibiotic_criteria_source,bacterial criteria; drug choice; dose; duration; gate logic; safety citation,retrieve RDU/AWaRe/NICE/IDSA/Thai guideline with exact disease criteria and dosing
