peds_rule_id,group_id,generic_or_class,age_min,age_max,weight_required,dose_formula,max_single_dose,max_daily_dose,route,frequency,duration,source_ids,citation_urls,status,notes
PEDS_PARACETAMOL_ORAL,PARACETAMOL_ORAL,paracetamol,0 mo,17 yr,YES,10–15 mg/kg/dose PO q4–6h PRN,max 15 mg/kg/dose or 650 mg,max 60 mg/kg/day routine; do not exceed label max,oral,q4–6h PRN,3 days fever unless assessed,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,formula_ready,Use local product concentration to convert to mL.
PEDS_IBUPROFEN_ORAL,IBUPROFEN_ORAL,ibuprofen,6 mo,17 yr,YES,5–10 mg/kg/dose PO q6–8h PRN,max 400 mg/dose,max 40 mg/kg/day; label cap,oral,q6–8h PRN,3 days fever/pain unless assessed,DM_IBUPROFEN;FDA_NSAID,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen; https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,formula_ready,"Avoid dehydration, renal disease, GI bleed, varicella caution."
PEDS_CETIRIZINE_ORAL,CETIRIZINE_ORAL,cetirizine,2 yr,17 yr,NO,age-band label dosing,10 mg/day,per label,oral,OD or BID depending age/form,5–14 days,DM_CETIRIZINE,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=cetirizine,age_band_ready,Do not use adult tablet in young child if cannot swallow.
PEDS_LORATADINE_ORAL,LORATADINE_ORAL,loratadine,2 yr,17 yr,NO,age-band label dosing,10 mg/day,per label,oral,OD,5–14 days,DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/,age_band_ready,Use syrup/child-friendly form when available.
PEDS_ORS_ORAL,ORS_ORAL,ORS,0 mo,17 yr,YES,give small frequent sips; replace losses; Plan A/B by dehydration status,not applicable,not applicable,oral,frequent,until hydrated,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,supportive_ready,Severe dehydration = ER/in-person rehydration.
PEDS_PROBIOTIC_ORAL,PROBIOTIC_ORAL,probiotic/S. boulardii,infant/child label dependent,17 yr,NO,product-specific label dose,per label,per label,oral,usually BID,3–5 days,WHO_ORS_ZINC;DM_LABEL,https://www.who.int/tools/elena/interventions/zinc-diarrhoea; https://dailymed.nlm.nih.gov/dailymed/,label_required,Avoid severe immunocompromise/central line.
PEDS_RACECADOTRIL_ORAL,RACECADOTRIL_ORAL,racecadotril,3 mo label dependent,17 yr,YES,weight-band product-specific dose TID,per label,per label,oral,TID,1–3 days,WHO_ORS_ZINC;DM_LABEL,https://www.who.int/tools/elena/interventions/zinc-diarrhoea; https://dailymed.nlm.nih.gov/dailymed/,label_required,Not replacement for ORS.
PEDS_DIOSMECTITE_ORAL,DIOSMECTITE_ORAL,diosmectite,2 yr label dependent,17 yr,NO,age-band product label dose,per label,per label,oral,divided doses,1–3 days,WHO_ORS_ZINC;DM_LABEL,https://www.who.int/tools/elena/interventions/zinc-diarrhoea; https://dailymed.nlm.nih.gov/dailymed/,label_required,Separate from other meds.
PEDS_AMOXICILLIN_ORAL,AMOXICILLIN_ORAL,amoxicillin,3 mo,17 yr,YES,disease-specific mg/kg/day divided BID/TID,per disease guideline,per disease guideline,oral,BID/TID,5–10 days,CDC_PED_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,antibiotic_gate_required,Only bacterial indications; allergy check.
PEDS_AMOX_CLAV_ORAL,AMOX_CLAV_ORAL,amoxicillin/clavulanate,3 mo,17 yr,YES,disease-specific amoxicillin-component mg/kg/day divided BID,per disease guideline,per disease guideline,oral,BID,5–10 days,CDC_PED_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,antibiotic_gate_required,Use amoxicillin component for dose; diarrhea common.
