adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_guideline_claim_types,disease_guideline_next_action,disease_guideline_proof_status,disease_guideline_source_ids,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids,swap_tier
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_7af69c4b2e21,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_0d9616be2635,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1–2 drops OU / affected eye PRN,7 days,"anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi","anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi",PO,,,,,dry_eye_adult,Symptomatic dry eye syndrome,True,True,gold_ready_adult,True,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_bb768ea25faa,,True,SWAP1,SWAP,BDS001552,FRM0007,True,True,dailymed_cmc_0_5_eye_drops_fb84fc0b,Tier 1 verified alternative
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_f97c5d658f0e,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_99ccd6639bdc,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_008824dc2100,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_a34265cae3cc,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1 tab PO OD,5 days,"Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.all","reast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. adults and children 12 years of age and over take one 180 mg tablet with water once a day; do not take more than 1 tablet in 24 hours children under 12 years of age do not use adults 65 years of age and older ask a doctor consumers with kidney disease ask a doctor call toll-free 1-800-633-1610 or www.allegra.com safety sealed: do not use if the indi",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Fexofenadine HCl 180 mg.,gold_regimen_e4c533fe7d19,,True,SWAP1,SWAP,BDS003747,FRM0001,True,True,dailymed_fexofenadine_180mg_tablet_2de81a41,Tier 1 verified alternative
1–2 drops OU / affected eye PRN,5–7 days,"anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi","anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi",PO,,,,,eye_irritation_adult,Eye irritation / dust exposure,True,True,gold_ready_adult,True,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_08b86817d1de,,True,SWAP1,SWAP,BDS001552,FRM0010,True,True,dailymed_cmc_0_5_eye_drops_fb84fc0b,Tier 1 verified alternative
1–2 drops OU / affected eye PRN,5–7 days,"anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi","anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi",PO,,,,,eye_irritation_adult,Eye irritation / dust exposure,True,True,gold_ready_adult,True,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_4ff046ed8e28,,True,SWAP1,SWAP,BDS001552,FRM0010,True,True,dailymed_cmc_0_5_eye_drops_fb84fc0b,Tier 1 verified alternative
