allergy_alternative,antibiotic_criteria_source_ready,antibiotic_gate_id,antibiotic_gate_ready,avoid_if,bacterial_criteria_required,criteria_text,disease_key,duration_rule,final_antibiotic_status,gate_logic,generic_name,guideline_next_action,line_of_therapy,major_interactions,no_antibiotic_source_ready,not_for_viral_use,pediatric_caution,pregnancy_caution,product_id,red_flag_source_ready,renal_caution,source_ids,missing_fields
,False,abx_2370fb9c216f,False,,True,,tinea_pruritic_rash_adult,7 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,RX1,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_1bab4edd5066,False,,True,,tinea_pruritic_rash_adult,7 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,RX1,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_44e7c71f1ae1,False,,True,,tinea_pruritic_rash_adult,7 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,RX1,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_23d089b85e8a,False,,True,,minor_skin_infection_topical_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ddef0e7db73d,False,,True,,minor_skin_infection_topical_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_45f4c0a6e2e7,False,,True,,minor_skin_infection_topical_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_eac4cee4df2a,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX1,,False,False,,,BDS001103,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_e3f68b863cd6,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX1,,False,False,,,BDS001103,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_3c3842cf9350,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX1,,False,False,,,BDS001103,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_c0f6f4da2637,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin 500 mg.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX1,,False,False,,,BDS002201,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_ede41e3b334c,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin 500 mg.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX1,,False,False,,,BDS002201,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
