regimen_id,disease_key,disease_name,ICD10,complaint_key,role,tier,default_row,product_id,drug_name,composition,BDS,sig,duration,dispense,caution,side_effect,clinical_readiness,fast_mode_allowed,evidence_status,source_status,blocked_reason,missing_requirements,next_action,old_runtime_status,source_runtime_path,coverage_id,source_pack_id,final_verification_status,final_clinical_readiness,final_fast_mode_allowed,final_rx_role,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,exact_evidence_missing,exact_block_reason,exact_next_action,can_show_in_main_builder,can_show_in_peds_page,can_show_in_swaps,catalog_only_reason,pediatric_unlock_status,antibiotic_unlock_status,antiviral_unlock_status,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[0],coverage_17acc0135790,allergy_antihistamine_nasal,usable_with_warning_source_partial,usable_with_warning,false,RX NOW,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,false,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[1],coverage_bc953b78cfa0,allergy_antihistamine_nasal,blocked_source_missing,blocked,false,RX NOW,,,,,,,,claim_3bc0b328a5a1,,,,,,,,,,,disease_strategy_source,product manual review; verified guideline source,attach accepted source evidence,true,false,false,,not_applicable,not_applicable,not_applicable,blocked,keep_blocked_or_manual_review,product manual review; verified guideline source,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[2],coverage_ff7f25ac1e82,allergy_antihistamine_nasal,usable_with_warning_source_partial,usable_with_warning,false,SWAP,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,true,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[3],coverage_174f9e302b9a,allergy_antihistamine_nasal,usable_with_warning_source_partial,usable_with_warning,false,SWAP,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,true,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[0],coverage_ce656203e0ff,allergy_antihistamine_nasal,usable_with_warning_source_partial,usable_with_warning,false,RX NOW,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,false,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[1],coverage_4c447192c2f6,allergy_antihistamine_nasal,blocked_source_missing,blocked,false,RX NOW,,,,,,,,claim_3bc0b328a5a1,,,,,,,,,,,disease_strategy_source,product manual review; verified guideline source,attach accepted source evidence,true,false,false,,not_applicable,not_applicable,not_applicable,blocked,keep_blocked_or_manual_review,product manual review; verified guideline source,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[2],coverage_454fb9132204,allergy_antihistamine_nasal,usable_with_warning_source_partial,usable_with_warning,false,SWAP,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,true,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[3],coverage_7499ecffd321,allergy_antihistamine_nasal,usable_with_warning_source_partial,usable_with_warning,false,SWAP,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,true,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[0],coverage_80bcc818ebcc,uri_sore_throat_cough,usable_with_warning_source_partial,usable_with_warning,false,RX NOW,,,,,,,,claim_3bc0b328a5a1,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,false,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source before marking ready,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[1],coverage_4d1d5df432ef,uri_sore_throat_cough,usable_with_warning_source_partial,usable_with_warning,false,RX NOW,,,,,,,,,,,,,,,,,,,disease_strategy_source,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready,true,false,false,,not_applicable,not_applicable,not_applicable,usable_with_warning,keep_warning_source_gap,low-risk/supportive row has partial or pending source context,true
