runtime_row_id,disease_key,diagnosis,icd10,category,population,modality,tier,drug_product,BDS,sig,duration,dispense,price_pack,side_effect_quick,caution_quick,gate_required,runtime_level,antibiotic_flag,pediatric_allowed,peds_rule_id,source_ids,citation_urls,red_flags,notes
RX_0001,abdominal_colic_adult,Abdominal colic / cramp,,GI/GERD-dyspepsia,adult,oral,Tier 1,Anpuzz 520 [Mefenamic acid 500 mg. + Dicyclomine HCl 20 mg.],BDS040009,product-specific adult dose PRN,1–3 days,กล่อง 10 เม็ด,กล่อง 10 เม็ด,"dry mouth, dizziness",avoid infant <6 mo; glaucoma/BPH caution,safety_gate,GATED,FALSE,FALSE,,DM_DICYCLOMINE,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=dicyclomine,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0002,abdominal_colic_adult,Abdominal colic / cramp,,GI/GERD-dyspepsia,adult,sachet/liquid,Tier 1,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],BDS008282,sip frequently; replace stool/vomit losses,until hydrated,กล่อง 5 ซอง,กล่อง 5 ซอง,vomiting if too fast,ER if severe dehydration/blood/toxic,standard,DEFAULT_FAST,FALSE,FALSE,,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0003,abdominal_colic_peds,Pediatric abdominal colic support,,GI/GERD-dyspepsia,pediatric,sachet/liquid,Tier 1,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],BDS008282,sip frequently; replace stool/vomit losses,until hydrated,กล่อง 5 ซอง,กล่อง 5 ซอง,vomiting if too fast,ER if severe dehydration/blood/toxic,pediatric_gate,GATED,FALSE,TRUE,PEDS_ORS_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0004,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,oral,Tier 1,Pariet 20 mg [Rabeprazole 20 mg.],BDS003138,standard-dose PPI PO OD before meal,2–8 weeks depending indication,กล่อง 14 เม็ด,กล่อง 14 เม็ด,"headache, diarrhea",review long-term need; alarm symptoms need eval,standard,GATED,FALSE,FALSE,,NICE_GERD_DYSPEPSIA;ACG_GERD,https://www.nice.org.uk/guidance/cg184/chapter/recommendations; https://pmc.ncbi.nlm.nih.gov/articles/PMC8754510/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0005,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,sachet/liquid,Tier 1,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],BDS008282,sip frequently; replace stool/vomit losses,until hydrated,กล่อง 5 ซอง,กล่อง 5 ซอง,vomiting if too fast,ER if severe dehydration/blood/toxic,standard,DEFAULT_FAST,FALSE,FALSE,,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0006,abdominal_gas_peds,Pediatric abdominal gas / bloating,,GI/GERD-dyspepsia,pediatric,sachet/liquid,Tier 1,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],BDS008282,sip frequently; replace stool/vomit losses,until hydrated,กล่อง 5 ซอง,กล่อง 5 ซอง,vomiting if too fast,ER if severe dehydration/blood/toxic,pediatric_gate,GATED,FALSE,TRUE,PEDS_ORS_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0007,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,oral,Tier 1,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],BDS040614,"500 mg 1 tab PO q6h PRN (max 3,000 mg/day routine)",3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"nausea, rash rare",avoid duplicate paracetamol; caution liver disease/alcohol,standard,DEFAULT_FAST,FALSE,FALSE,,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0008,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,nasal,Tier 1,Klean & Kare Saline (ANB) [Sodium Chloride 0.9 g./100 ml.],BDS044313,spray/rinse each nostril PRN,as needed,ขวด 200 ml.,ขวด 200 ml.,mild irritation,use clean water/device hygiene,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0009,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,lozenge,Tier 1,"Difflam รสน้ำผึ้งมะนาวผสมโพรโพลิส [2,4-Dichlorobenzyl alcohol 1.2 mg.+Amylmetacresol 0.6 mg.]",BDS042357,1 lozenge slowly q2–3h PRN,3–5 days,ซอง 8 เม็ด,ซอง 8 เม็ด,mouth irritation,avoid choking risk in small children,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0010,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,spray,Tier 1,Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.],BDS006462,spray to throat per product label,3–5 days,ขวด 15 ml.,ขวด 15 ml.,mouth numbness/irritation,avoid allergy; pediatric per label only,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0011,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,gargle,Tier 1,LeoPovidone [Povidone-Iodine 10% w/v],BDS044520,gargle/rinse per product label,3–5 days,ขวด 15 ml.,ขวด 15 ml.,"local irritation, staining with chlorhexidine",avoid swallowing; iodine/thyroid caution for povidone iodine,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0012,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,sachet/liquid,Tier 1,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],BDS008282,sip frequently; replace stool/vomit losses,until hydrated,กล่อง 5 ซอง,กล่อง 5 ซอง,vomiting if too fast,ER if severe dehydration/blood/toxic,pediatric_gate,GATED,FALSE,TRUE,PEDS_ORS_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0013,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,sachet/capsule,Tier 1,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],BDS001248,product-specific dose PO BID,3–5 days,ซอง,ซอง,bloating,avoid severe immunocompromise/central line,pediatric_gate,GATED,FALSE,TRUE,PEDS_PROBIOTIC_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0014,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,sachet,Tier 1,Dehecta [Dioctahedral Smectite 3 g./20 ml.],BDS042304,sachet PO per product schedule,1–3 days,ซอง 20 ml.,ซอง 20 ml.,constipation,separate from other meds,pediatric_gate,GATED,FALSE,TRUE,PEDS_DIOSMECTITE_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
RX_0015,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,oral,Tier 1,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],BDS040614,"500 mg 1 tab PO q6h PRN (max 3,000 mg/day routine)",3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"nausea, rash rare",avoid duplicate paracetamol; caution liver disease/alcohol,pediatric_gate,GATED,FALSE,TRUE,PEDS_PARACETAMOL_ORAL,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
