disease_id,display_name,complaints,regimen_ids,manual_review,source_runtime_path
abdominal_colic_adult,abdominal_colic_adult,"{""complaint"": ""abdominal cramp"", ""complaint_id"": ""CI0047"", ""disease_id"": ""abdominal_colic_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""colic"", ""complaint_id"": ""CI0048"", ""disease_id"": ""abdominal_colic_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""stomach cramp"", ""complaint_id"": ""CI0049"", ""disease_id"": ""abdominal_colic_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0019,True,data/core/opd_fast_index.json:index[0]
abdominal_colic_peds,abdominal_colic_peds,"{""complaint"": ""abdominal colic child"", ""complaint_id"": ""CI0239"", ""disease_id"": ""abdominal_colic_peds"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""stomach cramp child"", ""complaint_id"": ""CI0240"", ""disease_id"": ""abdominal_colic_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""colic child"", ""complaint_id"": ""CI0241"", ""disease_id"": ""abdominal_colic_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0083,True,data/core/opd_fast_index.json:index[1]
abdominal_gas_bloating_adult,abdominal_gas_bloating_adult,"{""complaint"": ""gas bloating"", ""complaint_id"": ""CI0044"", ""disease_id"": ""abdominal_gas_bloating_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""bloating"", ""complaint_id"": ""CI0045"", ""disease_id"": ""abdominal_gas_bloating_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""abdominal gas"", ""complaint_id"": ""CI0046"", ""disease_id"": ""abdominal_gas_bloating_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0018,True,data/core/opd_fast_index.json:index[2]
abdominal_gas_peds,abdominal_gas_peds,"{""complaint"": ""abdominal gas child"", ""complaint_id"": ""CI0236"", ""disease_id"": ""abdominal_gas_peds"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""child bloating gas"", ""complaint_id"": ""CI0237"", ""disease_id"": ""abdominal_gas_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""gas child"", ""complaint_id"": ""CI0238"", ""disease_id"": ""abdominal_gas_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0082,True,data/core/opd_fast_index.json:index[3]
acute_gastroenteritis_peds_mild,acute_gastroenteritis_peds_mild,"{""complaint"": ""gastroenteritis child"", ""complaint_id"": ""CI0242"", ""disease_id"": ""acute_gastroenteritis_peds_mild"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""child gastroenteritis"", ""complaint_id"": ""CI0243"", ""disease_id"": ""acute_gastroenteritis_peds_mild"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""mild diarrhea child"", ""complaint_id"": ""CI0244"", ""disease_id"": ""acute_gastroenteritis_peds_mild"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0084,True,data/core/opd_fast_index.json:index[4]
acute_pharyngitis_viral_adult,acute_pharyngitis_viral_adult,"{""complaint"": ""viral pharyngitis"", ""complaint_id"": ""CI0119"", ""disease_id"": ""acute_pharyngitis_viral_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""viral sore throat"", ""complaint_id"": ""CI0120"", ""disease_id"": ""acute_pharyngitis_viral_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""throat irritation"", ""complaint_id"": ""CI0121"", ""disease_id"": ""acute_pharyngitis_viral_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0043,True,data/core/opd_fast_index.json:index[5]
acute_watery_diarrhea_adult,acute_watery_diarrhea_adult,"{""complaint"": ""acute watery diarrhea"", ""complaint_id"": ""CI0006"", ""disease_id"": ""acute_watery_diarrhea_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""watery diarrhea"", ""complaint_id"": ""CI0020"", ""disease_id"": ""acute_watery_diarrhea_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""diarrhea"", ""complaint_id"": ""CI0021"", ""disease_id"": ""acute_watery_diarrhea_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0004,True,data/core/opd_fast_index.json:index[6]
acute_watery_diarrhea_peds,acute_watery_diarrhea_peds,"{""complaint"": ""diarrhea 5 yr bw 20 kg"", ""complaint_id"": ""CI0010"", ""disease_id"": ""acute_watery_diarrhea_peds"", ""manual_review"": true, ""match_type"": ""shortcut"", ""priority"": 1, ""source_status"": ""legacy_unverified""}",FRM0008,True,data/core/opd_fast_index.json:index[7]
acute_watery_diarrhea_peds_rehydration,acute_watery_diarrhea_peds_rehydration,"{""complaint"": ""rehydration diarrhea child"", ""complaint_id"": ""CI0245"", ""disease_id"": ""acute_watery_diarrhea_peds_rehydration"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""child ors support"", ""complaint_id"": ""CI0246"", ""disease_id"": ""acute_watery_diarrhea_peds_rehydration"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""watery diarrhea child rehydration"", ""complaint_id"": ""CI0247"", ""disease_id"": ""acute_watery_diarrhea_peds_rehydration"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0085,True,data/core/opd_fast_index.json:index[8]
allergic_conjunctivitis,allergic conjunctivitis,"{""complaint"": ""allergic conjunctivitis"", ""complaint_id"": ""CMP_ALLERGIC_CONJUNCTIVITIS"", ""disease_id"": ""allergic_conjunctivitis"", ""manual_review"": true, ""match_type"": ""required_pattern"", ""priority"": 1, ""source_status"": ""missing_verified_source""}",,True,data/core/opd_fast_index.json:index[9]
