antibiotic_rule_id,disease_key,generic_name,product_links,bacterial_criteria,no_antibiotic_criteria,first_line_flag,alternative_flag,allergy_alternative,adult_dose_rule_id,peds_dose_rule_id,duration,red_flags,referral_criteria,source_ids,reviewer_status,reviewer_note
ABX_NO_ROUTINE_VIRAL_URI,viral_uri,,,,No routine antibiotic for viral URI unless a verified bacterial complication rule is documented.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_ACUTE_BRONCHITIS,acute_bronchitis,,,,No routine antibiotic unless a verified criteria-dependent bacterial rule is documented.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_SIMPLE_DIARRHEA,simple_diarrhea,,,,No routine antibiotic for simple non-bloody diarrhea.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_ALLERGIC_RHINITIS,allergic_rhinitis,,,,No antibiotic for allergic rhinitis.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_DRY_EYE,dry_eye,,,,No antibiotic for dry eye.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_NO_ROUTINE_ALLERGIC_CONJUNCTIVITIS,allergic_conjunctivitis,,,,No antibiotic for allergic conjunctivitis.,false,false,,,,,,,,pending_source,Framework row only; add verified local guideline source before using as authority.
ABX_PRODUCT_BDS040078,,amoxicillin,BDS040078,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001103,,amoxicillin + clavulanic acid,BDS001103,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001035,,amoxicillin + clavulanic acid,BDS001035,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS040017,,amoxicillin trihydrate + clavulanic potassium,BDS040017,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001494,,azithromycin,BDS001494,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS006115,,azithromycin,BDS006115,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007066,,roxithromycin,BDS007066,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001545,,amoxicillin + clavulanic acid,BDS001545,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007784,,cephalexin,BDS007784,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001452,,clarithromycin,BDS001452,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008652,,dicloxacillin,BDS008652,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008702,,dicloxacillin,BDS008702,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS001943,,azithromycin,BDS001943,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002201,,amoxicillin,BDS002201,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002447,,clarithromycin,BDS002447,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS002692,,cefditoren,BDS002692,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003078,,cefdinir,BDS003078,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS008121,,erythromycin stearate,BDS008121,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003423,,roxithromycin,BDS003423,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007976,,roxithromycin,BDS007976,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS003428,,roxithromycin,BDS003428,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS007007,,amoxicillin,BDS007007,,,false,false,beta_lactam_review,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
ABX_PRODUCT_BDS049776,,azithromycin,BDS049776,,,false,false,,,,,,,,manual_review,"Antibiotic product requires disease-specific indication, dose, duration, and source before FAST MODE."
