runtime_row_id,disease_key,diagnosis,icd10,category,population,tier,when_to_use,modality,drug_product,BDS,sig,duration,dispense,price_pack,side_effect_quick,caution_quick,gate_required,runtime_level,antibiotic_flag,pediatric_allowed,peds_rule_id,source_ids,citation_urls,red_flags,notes
SWAP_0001,abdominal_colic_adult,Abdominal colic / cramp,,GI/GERD-dyspepsia,adult,Tier 2,fever/pain,oral,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],BDS040614,"500 mg 1 tab PO q6h PRN (max 3,000 mg/day routine)",3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"nausea, rash rare",avoid duplicate paracetamol; caution liver disease/alcohol,standard,DEFAULT_FAST,FALSE,FALSE,,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0002,abdominal_colic_peds,Pediatric abdominal colic support,,GI/GERD-dyspepsia,pediatric,Tier 2,fever/pain,oral,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],BDS040614,"500 mg 1 tab PO q6h PRN (max 3,000 mg/day routine)",3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"nausea, rash rare",avoid duplicate paracetamol; caution liver disease/alcohol,pediatric_gate,GATED,FALSE,TRUE,PEDS_PARACETAMOL_ORAL,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0003,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,Tier 2,dyspepsia/gas,oral,Milk of Magnesia C.B. [Magnesium Hydroxide 400 mg./5 ml.],BDS008461,chew/suspension after meals/HS PRN,as needed,ขวด 240 ml.,ขวด 240 ml.,constipation/diarrhea,separate from other meds; renal disease caution,standard,DEFAULT_FAST,FALSE,FALSE,,NICE_GERD_DYSPEPSIA,https://www.nice.org.uk/guidance/cg184/chapter/recommendations,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0004,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,Tier 4,abdominal cramp,oral,Anpuzz 520 [Mefenamic acid 500 mg. + Dicyclomine HCl 20 mg.],BDS040009,product-specific adult dose PRN,1–3 days,กล่อง 10 เม็ด,กล่อง 10 เม็ด,"dry mouth, dizziness",avoid infant <6 mo; glaucoma/BPH caution,safety_gate,GATED,FALSE,FALSE,,DM_DICYCLOMINE,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=dicyclomine,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0005,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,Tier 5,fever/pain,oral,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],BDS040614,"500 mg 1 tab PO q6h PRN (max 3,000 mg/day routine)",3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"nausea, rash rare",avoid duplicate paracetamol; caution liver disease/alcohol,standard,DEFAULT_FAST,FALSE,FALSE,,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0006,abdominal_gas_peds,Pediatric abdominal gas / bloating,,GI/GERD-dyspepsia,pediatric,Tier 5,fever/pain,oral,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],BDS040614,"500 mg 1 tab PO q6h PRN (max 3,000 mg/day routine)",3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"nausea, rash rare",avoid duplicate paracetamol; caution liver disease/alcohol,pediatric_gate,GATED,FALSE,TRUE,PEDS_PARACETAMOL_ORAL,OTC_LABEL_ANALGESIC;DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=acetaminophen; https://dailymed.nlm.nih.gov/dailymed/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0007,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 2,sputum/wet cough,oral,Cystaline [Acetylcysteine 600 mg.],BDS001531,600 mg PO OD or divided dose,3–5 days,หลอด 10 เม็ด,หลอด 10 เม็ด,GI upset,asthma caution if bronchospasm,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0008,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 3,sputum/wet cough,oral,Mucolid [Ambroxol HCl 30 mg.],BDS002655,30 mg PO TID or product-specific syrup dose,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"GI upset, rash rare",stop if severe skin reaction,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0009,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 4,sputum/wet cough,oral,Bisolvon [Bromhexine HCl 8 mg.],BDS001255,8 mg PO TID or product-specific syrup dose,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,GI upset,stop if rash/severe reaction,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0010,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 5,sputum/wet cough,oral,Bocytin Capsule [Carbocysteine 375 mg.],BDS008141,adult product-specific dose PO TID,3–5 days,กล่อง 10 แคปซูล,กล่อง 10 แคปซูล,GI upset,caution active peptic ulcer,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
