gap_id,area,severity,disease_key,finding,v5_action,status
GAP_0001,runtime coverage,review,asthma_child_5_11_chronic_management,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0002,runtime coverage,review,asthma_over12_chronic_management,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0003,runtime coverage,review,copd_suspected_over16_diagnosis,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0004,runtime coverage,review,copd_suspected_over16_diagnosis,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0005,runtime coverage,review,corn_callus_topical_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0006,runtime coverage,review,corn_callus_topical_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0007,runtime coverage,review,corn_callus_topical_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0008,runtime coverage,review,familial_hypercholesterolaemia_adult_treatment,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0009,runtime coverage,review,genitourinary_syndrome_menopause_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0010,runtime coverage,review,genitourinary_syndrome_menopause_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0011,runtime coverage,review,genitourinary_syndrome_menopause_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0012,runtime coverage,review,genitourinary_syndrome_menopause_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0013,runtime coverage,review,gout_urate_lowering_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0014,runtime coverage,review,hypothyroidism_adult_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0015,runtime coverage,review,menopause_vasomotor_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0016,runtime coverage,review,menopause_vasomotor_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0017,runtime coverage,review,menopause_vasomotor_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0018,runtime coverage,review,menopause_vasomotor_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0019,runtime coverage,review,menopause_vasomotor_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0020,runtime coverage,review,migraine_adult_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0021,runtime coverage,review,migraine_adult_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0022,runtime coverage,review,migraine_over12_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
