adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_guideline_claim_types,disease_guideline_next_action,disease_guideline_proof_status,disease_guideline_source_ids,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_b91d5c5baade,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_ebfa4bdb1694,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met,source_backed_no_antibiotic_supportive_care,cdc_adult_outpatient_antibiotic_2024,uri_wet_cough_adult,Acute viral URI with productive cough,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_7cdacd71e777,,True,RX1,RX NOW,BDS003762,FRM0002,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,rule out pneumonia/red flags; antibiotics remain hidden unless bacterial diagnosis criteria are met,source_backed_no_antibiotic_supportive_care,cdc_adult_outpatient_antibiotic_2024,uri_wet_cough_adult,Acute viral URI with productive cough,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_4afd287d5aac,,True,RX1,RX NOW,BDS003762,FRM0002,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_70381cfa14af,,True,RX1,RX NOW,BDS003762,FRM0006,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_b910d0e1fe24,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_fe66795c42e0,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_6b16a0049064,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_1a203f36f7fc,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
1 tab PO OD,5 days,"t-feeding: Not recommended • if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease","if pregnant: Ask a health professional before use Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Directions adults and children 6 years and over one 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours. A 5 mg product may be appropriate for less severe symptoms. adults 65 years and over ask a doctor children under 6 years of age ask a doctor consumers with liver or kidney disease ask a doctor Other informati",PO,disease_strategy; drug_class_indication; line_of_treatment,product-specific intranasal steroid or antihistamine dose/safety evidence is still required before new rows unlock,source_backed_allergic_rhinitis_line_of_treatment,aao_hns_allergic_rhinitis_2015,allergic_rhinitis_adult,Allergic rhinitis,True,True,gold_ready_adult,True,Cetirizine dihydrochloride 10 mg.,gold_regimen_1c75bb069f59,,True,RX1,RX NOW,BDS004213,FRM0001,True,True,dailymed_cetirizine_10mg_tablet_f756d3b1
