gap_id,entity_type,entity_id,required_source_priority,status,manual_review,queue_type,source_file,source_runtime_path,affected_products,todo_id,source_id_suggestion,title_query,organization_target,clinical_domain,related_drugs,related_complaints,evidence_needed,preferred_source_type,search_query,priority,review_status,source_url_candidates,notes,missing_item,review_note,coverage_id,source_pack_id,final_verification_status,final_clinical_readiness,final_fast_mode_allowed,final_rx_role,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,exact_evidence_missing,exact_block_reason,exact_next_action,can_show_in_main_builder,can_show_in_peds_page,can_show_in_swaps,catalog_only_reason,pediatric_unlock_status,antibiotic_unlock_status,antiviral_unlock_status,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
GAP_DISEASE_ALLERGIC_RHINITIS,disease,allergic_rhinitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[0],,,,,,,,,,,,,,,,,,coverage_87afa39a258f,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_URI_WET_COUGH,disease,uri_wet_cough,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[1],,,,,,,,,,,,,,,,,,coverage_dbf3289e9222,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_URI_DRY_COUGH,disease,uri_dry_cough,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[2],,,,,,,,,,,,,,,,,,coverage_9887ecfb9377,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_SORE_THROAT,disease,sore_throat,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[3],,,,,,,,,,,,,,,,,,coverage_0aef876601b3,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_FEVER_MYALGIA,disease,fever_myalgia,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[4],,,,,,,,,,,,,,,,,,coverage_e384331712f9,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DIARRHEA_ADULT,disease,diarrhea_adult,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[5],,,,,,,,,,,,,,,,,,coverage_5931dbbe0337,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DIARRHEA_CHILD,disease,diarrhea_child,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[6],,,,,,,,,,,,,,,,,,coverage_d644b934d1db,thai_pediatric_dose,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,true,false,,manual_review_required_with_exact_reason,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_NAUSEA_VOMITING,disease,nausea_vomiting,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[7],,,,,,,,,,,,,,,,,,coverage_dfc39c5c6e54,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DYSPEPSIA,disease,dyspepsia,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[8],,,,,,,,,,,,,,,,,,coverage_d3a68e118f96,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_GERD,disease,gerd,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[9],,,,,,,,,,,,,,,,,,coverage_3de22aad201f,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
