task_id,row_type,sheet,row_number,record_id,name,priority_score,source_hint
PRODUCT_0385,product,Product_Label_Links,385,7040,Cefen 400P,100,"384 | 7040 | Cefen 400P | Ibuprofen 400 mg. | Cefen 400P (10 tabs) | ยาแก้ปวด, ลดไข้ (D) | แผง 10 เม็ด |  | Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Cefen+400P | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Cefen%20400P&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Cefen%20400P%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen | https://www.medicines.org.uk/emc/search?q=Cefen+400P | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/lowrisk/category/monograph-of-the-national-list-of-essential-medicines | https://www.m"
PRODUCT_0386,product,Product_Label_Links,386,1618,Duran,100,"385 | 1618 | Duran | Ibuprofen 400 mg. | Duran (10 tabs) | ยาแก้ปวด, ลดไข้ (D) | กล่อง 10 เม็ด |  | Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Duran | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Duran&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Duran%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen | https://www.medicines.org.uk/emc/search?q=Duran | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/lowrisk/category/monograph-of-the-national-list-of-essential-medicines | https://www.mims.com/thailand/search?q=Duran "
PRODUCT_0387,product,Product_Label_Links,387,2042,Gofen 400,100,"386 | 2042 | Gofen 400 | Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol | Gofen 400 (10 cap) | ยาแก้ปวด, ลดไข้ (D) | กล่อง 10 แคปซูล |  | Ibuprofen +Polyethylene 400+Porpylene Glycol | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Gofen+400 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen+%2BPolyethylene+400%2BPorpylene+Glycol | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Gofen%20400&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen%20%2BPolyethylene%20400%2BPorpylene%20Glycol&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Gofen%20400%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%20%2BPolyethylene%20400%2BPorpylene%20Glycol%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen+%2BPolyethyle"
PRODUCT_0388,product,Product_Label_Links,388,2036,Greatofen-400 mg,100,"387 | 2036 | Greatofen-400 mg | Ibuprofen 400 mg. | Greatofen-400 mg (10 tabs) | ยาแก้ปวด, ลดไข้ (D) | แผง 10 เม็ด |  | Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Greatofen-400+mg | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Greatofen-400%20mg&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Greatofen-400%20mg%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen | https://www.medicines.org.uk/emc/search?q=Greatofen-400+mg | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/lowrisk/category/monograph-of-the-national-list-of"
PRODUCT_0389,product,Product_Label_Links,389,7161,Ibuman-Plus,100,"388 | 7161 | Ibuman-Plus | Ibuprofen 400 mg.+Paracetamol 325 mg. | Ibuman-Plus (10 tabs) | ยาแก้ปวด, ลดไข้ (D) | แผง 10 เม็ด |  | Ibuprofen +Paracetamol | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuman-Plus | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen+%2BParacetamol | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuman-Plus&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen%20%2BParacetamol&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Ibuman-Plus%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%20%2BParacetamol%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen+%2BParacetamol | https://www.medicines.org.uk/emc/search?q=Ibuman-Plus | https://ndi.fda.moph.go.th/drug_use | https://drug.fd"
PRODUCT_0390,product,Product_Label_Links,390,7165,Kintal B,100,"389 | 7165 | Kintal B | Ibuprofen 400 mg.+Paracetamol 325 mg. | Kintal B (10 tabs) | ยาแก้ปวด, ลดไข้ (D) | แผง 10 เม็ด |  | Ibuprofen +Paracetamol | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Kintal+B | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen+%2BParacetamol | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Kintal%20B&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen%20%2BParacetamol&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Kintal%20B%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%20%2BParacetamol%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen+%2BParacetamol | https://www.medicines.org.uk/emc/search?q=Kintal+B | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/l"
PRODUCT_0391,product,Product_Label_Links,391,45600,Nurofen Zavance,100,"390 | 45600 | Nurofen Zavance | Ibuprofen 400 mg | Nurofen Zavance (10 cap) | ยาแก้ปวด, ลดไข้ (D) | กล่อง 10 แคปซูล |  | Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Nurofen+Zavance | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Nurofen%20Zavance&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Nurofen%20Zavance%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen | https://www.medicines.org.uk/emc/search?q=Nurofen+Zavance | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/lowrisk/category/monograph-of-the-national-list-of-es"
PRODUCT_0392,product,Product_Label_Links,392,2846,Nurofen-400,100,"391 | 2846 | Nurofen-400 | Ibuprofen 400 mg. | Nurofen-400 (6 tabs) | ยาแก้ปวด, ลดไข้ (D) | แผง 6 เม็ด |  | Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Nurofen-400 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Nurofen-400&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Nurofen-400%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen | https://www.medicines.org.uk/emc/search?q=Nurofen-400 | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/lowrisk/category/monograph-of-the-national-list-of-essential-medicines | https://www.m"
PRODUCT_0393,product,Product_Label_Links,393,47673,Solufen 400,100,"392 | 47673 | Solufen 400 | Ibuprofen 400 mg. | Solufen 400 (10 cap) | ยาแก้ปวด, ลดไข้ (D) | กล่อง 10 แคปซูล |  | Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Solufen+400 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Ibuprofen | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Solufen%20400&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Ibuprofen&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Solufen%20400%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Ibuprofen%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Ibuprofen | https://www.medicines.org.uk/emc/search?q=Solufen+400 | https://ndi.fda.moph.go.th/drug_use | https://drug.fda.moph.go.th/lowrisk/category/monograph-of-the-national-list-of-essential-medicines | htt"
PRODUCT_0394,product,Product_Label_Links,394,46200,Oral-VP tabslet,100,393 | 46200 | Oral-VP tabslet | Cetylpyridinium chloride 1.5 mg. | Oral-VP tabslet (10 tabs) | ยาอมแก้เจ็บคอ (D) | ซอง 10 เม็ด |  | Cetylpyridinium chloride | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Oral-VP+tabslet | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Cetylpyridinium+chloride | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Oral-VP%20tabslet&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Cetylpyridinium%20chloride&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Oral-VP%20tabslet%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Cetylpyridinium%20chloride%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Cetylpyridinium+chloride | https://www.medicines.org.uk/emc/search?q=Oral-VP+tabslet | https://ndi.fda.moph.go.th/dr
