abx_gate_id,disease_pattern,allowed_groups,first_line_logic,alternative_logic,block_when,duration_logic,source_ids,citation_urls,runtime_action
ABX_URI,viral_uri|common_cold|acute_bronchitis|post_viral_cough,NONE,symptomatic care only,none,no bacterial criteria,no antibiotic,CDC_ADULT_ABX;CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,block_abx
ABX_SINUSITIS,bacterial_sinusitis|acute_bacterial_sinusitis,AMOX_CLAV_ORAL;AMOXICILLIN_ORAL,amoxicillin/clavulanate first-line when criteria met,macrolide only if appropriate allergy/local resistance policy,viral/non-severe early symptoms,5–7 days adult; pediatric per guideline,CDC_ADULT_ABX;CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,allow_if_gate
ABX_PHARYNGITIS,bacterial_pharyngitis|tonsillitis,AMOXICILLIN_ORAL,penicillin/amoxicillin when GAS confirmed/likely by test criteria,macrolide if penicillin allergy,viral sore throat/no testing criteria,usually 10 days for beta-lactam; per guideline,CDC_ADULT_ABX;CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,allow_if_gate
ABX_AOM,acute_otitis_media,AMOXICILLIN_ORAL;AMOX_CLAV_ORAL,amoxicillin first-line if treatment indicated,amox-clav if selected criteria,watchful waiting eligible/non-severe,per pediatric guideline,CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,allow_if_gate
ABX_CONJ,bacterial_conjunctivitis,ANTIBIOTIC_EYE_DROPS,topical antibiotic only when bacterial pattern/need,none,viral/allergic conjunctivitis,5–7 days common label-dependent,AAO_CONJUNCTIVITIS,https://www.aao.org/education/preferred-practice-pattern/conjunctivitis-ppp-2023,allow_if_gate
ABX_UTI,uti|cystitis|dysuria|frequency_urgency,NITROFURANTOIN_ORAL;CEPHALEXIN_ORAL;FLUOROQUINOLONE_ORAL,nitrofurantoin if lower UTI and renal OK,fluoroquinolone reserve,pyelo/systemic/pregnant/male/complicated without eval,3–7 days depending population/drug,NICE_UTI,https://www.nice.org.uk/guidance/ng109/chapter/recommendations,allow_if_gate
ABX_IMPETIGO,impetigo,TOPICAL_ANTIBIOTIC_SKIN;ORAL_SKIN_ABX,topical for few localized lesions,oral for multiple/widespread lesions,noninfected dermatitis,5–7 days,CDC_IMPETIGO,https://www.cdc.gov/group-a-strep/hcp/clinical-guidance/impetigo.html,allow_if_gate
ABX_CELLULITIS,cellulitis|infected_wound|infected_insect|infected_abrasion,ORAL_SKIN_ABX;AMOX_CLAV_ORAL;CEPHALEXIN_ORAL,oral antibiotic if mild cellulitis and no systemic red flags,broaden/refer if bite/abscess/systemic,local allergic bite without infection,5–7 days; reassess,IDSA_SKIN;CDC_IMPETIGO,https://www.idsociety.org/practice-guideline/skin-and-soft-tissue-infections/; https://www.cdc.gov/group-a-strep/hcp/clinical-guidance/impetigo.html,allow_if_gate
ABX_DENTAL,dental_abscess|dental_infection,AMOXICILLIN_ORAL;AMOX_CLAV_ORAL;MACROLIDE_ORAL,dental source control + antibiotic only when spreading/systemic risk,macrolide if true penicillin allergy,simple dental pain without infection,short course per local dental guidance,DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/,allow_if_gate
ABX_HP,h_pylori,PPI_ORAL;AMOXICILLIN_ORAL;MACROLIDE_ORAL,eradication regimen only after confirmed active infection/local protocol,avoid empiric without testing,uninvestigated dyspepsia without confirmation,10–14 days per regimen/source,NICE_GERD_DYSPEPSIA;ACG_GERD,https://www.nice.org.uk/guidance/cg184/chapter/recommendations; https://pmc.ncbi.nlm.nih.gov/articles/PMC8754510/,review_required
ABX_V4_ORAL_CEPH_3RD,bacterial_sinusitis_alt|aom_alt|selected_bacterial_ent,ORAL_CEPHALOSPORIN_3RD,not first-line default; use only if local guideline/allergy/diagnosis supports,doctor-confirm alternative after bacterial criteria,"viral URI, non-bacterial sore throat, nonspecific cough",per disease guideline/label,CDC_ADULT_ABX;CDC_PED_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,allow_if_gate
