id,name,genericGroup,composition,status,reason
BDS040078,A.M.Mox 500 (10 cap),Amoxicillin,Amoxicillin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001103,AMK 1000 mg (10 tabs),amoxicillin clavulanate,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001035,Amoksiklav 1000 mg (10 tabs),Amoxicillin + Clavulanic Acid,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040017,Augmentin 1 g. (10 tabs),Amoxicillin Trihydrate + Clavulanic Potassium,Amoxicillin Trihydrate (eq. to Amoxicillin 875 mg.)+Clavulanic Potassium (eq. to Clavulanic Acid 125 mg.),no_peds_reference,no pediatric reference and no parseable concentration
BDS001494,Azithro 250 mg (6 cap),Azithromycin,Azithromycin 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006115,Azycin 250 mg (GPO) (6 cap),Azithromycin,Azithromycin 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007066,B.Roxi (10 tabs),roxithromycin,Roxithromycin 150 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001545,Cavumox 1 g (3 tabs),Amoxicillin + Clavulanic Acid,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007784,Cephalex-500 (10 cap),Cephalexin,Cephalexin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001452,Clarith 500 (7 tabs),Clarithromycin,Clarithromycin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008652,Dicloxilin-500 (10 cap),Dicloxacillin,Dicloxacillin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008702,Dicloxman-500 (10 cap),Dicloxacillin,Dicloxacillin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001943,Floctil 250 (6 cap),Azithromycin,Azithromycin 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002201,Ibiamox 500 mg (10 cap),amoxicillin,Amoxicillin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002447,Klacid MR 500 mg (7 tabs),Clarithromycin,Clarithromycin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002692,Meiact tabslet (10 tabs),Cefditoren,Cefditoren 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003078,Omnicef 100 mg (10 cap),Cefdinir,Cefdinir 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008121,Rintacin (10 tabs),Erythromycin stearate,Erythromycin stearate 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003423,Rothricin 150 mg (10 tabs),Roxithromycin,Roxithromycin 150 mg.,no_peds_reference,no pediatric reference and no parseable concentration
