gold_regimen_row_id,regimen_id,product_id,generic_name,disease_key,modality,final_rx_status,accredited_source_status,missing_accredited_fields,next_action
gold_regimen_b91d5c5baade,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_bc70d5764560,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_7af69c4b2e21,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_a3261d3e00d6,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_ebfa4bdb1694,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_bf74152d4e17,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_0d9616be2635,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_07e572a9480c,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_7cdacd71e777,FRM0002,BDS003762,Paracetamol 500 mg.,uri_wet_cough_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_08cd83539302,FRM0002,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_wet_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_ad306dae5b14,FRM0002,BDS002655,Ambroxol HCl 30 mg.,uri_wet_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_5753d9230be6,FRM0002,BDS002901,Acetylcysteine 600 mg.,uri_wet_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_4afd287d5aac,FRM0002,BDS003762,Paracetamol 500 mg.,uri_wet_cough_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_ec397ea74e60,FRM0002,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_wet_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_f8276d78ffc4,FRM0002,BDS002655,Ambroxol HCl 30 mg.,uri_wet_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
