input_phrase,normalized_phrase,disease_key,diagnosis,icd10,category,population,priority,match_type,rx_now_rows,swap_rows,restricted_rows,antibiotic_rows_present,runtime_policy,red_flags,notes
abdominal cramp,abdominal_cramp,abdominal_colic_adult,Abdominal colic / cramp,,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
colic,colic,abdominal_colic_adult,Abdominal colic / cramp,,GI/GERD-dyspepsia,adult,2,alias,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
stomach cramp,stomach_cramp,abdominal_colic_adult,Abdominal colic / cramp,,GI/GERD-dyspepsia,adult,3,alias,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
abdominal colic child,abdominal_colic_child,abdominal_colic_peds,Pediatric abdominal colic support,,GI/GERD-dyspepsia,pediatric,1,exact,1,1,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
stomach cramp child,stomach_cramp_child,abdominal_colic_peds,Pediatric abdominal colic support,,GI/GERD-dyspepsia,pediatric,2,alias,1,1,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
colic child,colic_child,abdominal_colic_peds,Pediatric abdominal colic support,,GI/GERD-dyspepsia,pediatric,3,alias,1,1,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gas bloating,gas_bloating,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,1,exact,2,4,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bloating,bloating,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,2,alias,2,4,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
abdominal gas,abdominal_gas,abdominal_gas_bloating_adult,Generalized bloating / flatulence,,GI/GERD-dyspepsia,adult,3,alias,2,4,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
abdominal gas child,abdominal_gas_child,abdominal_gas_peds,Pediatric abdominal gas / bloating,,GI/GERD-dyspepsia,pediatric,1,exact,1,1,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
