regimen_id,disease_key,product_id,drug_name,issue_type,no_antibiotic_rule_candidate,final_status,exact_evidence_missing,exact_next_action
FRM0028,tinea_pruritic_rash_adult,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0028,tinea_pruritic_rash_adult,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0028,tinea_pruritic_rash_adult,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0031,minor_skin_infection_topical_adult,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0031,minor_skin_infection_topical_adult,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0031,minor_skin_infection_topical_adult,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0033,bacterial_sinusitis_adult,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0033,bacterial_sinusitis_adult,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0033,bacterial_sinusitis_adult,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
FRM0034,bacterial_pharyngitis_adult,BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],,False,blocked_antibiotic_missing_criteria,bacterial criteria/no-antibiotic rule; drug choice; dose; frequency; duration; allergy alternative if used,map accepted RDU/AWaRe/disease guideline snippet to this row before RX NOW
