coverage_id,sheet_name,row_number,product_id,regimen_id,disease_key,disease_name,complaint_key,generic_name,drug_name,composition,BDS,sig,duration,route,form,pediatric_flag,antibiotic_flag,high_risk_flag,current_readiness,current_source_status,exact_evidence_needed,minimum_source_type,source_priority,final_status,final_reason,next_action
coverage_17acc0135790,2_Regimen_Master_Export,2,BDS004213,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0001,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_bc953b78cfa0,2_Regimen_Master_Export,3,BDS002805,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0001,,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_ff7f25ac1e82,2_Regimen_Master_Export,4,BDS003747,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0001,,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_174f9e302b9a,2_Regimen_Master_Export,5,BDS045630,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0001,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_ce656203e0ff,2_Regimen_Master_Export,6,BDS004213,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0002,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_4c447192c2f6,2_Regimen_Master_Export,7,BDS002805,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0002,,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_454fb9132204,2_Regimen_Master_Export,8,BDS003747,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0002,,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_7499ecffd321,2_Regimen_Master_Export,9,BDS045630,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0002,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_80bcc818ebcc,2_Regimen_Master_Export,10,BDS003762,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0003,,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_4d1d5df432ef,2_Regimen_Master_Export,11,BDS045630,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0003,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
