task_id,row_type,priority,product_id,regimen_id,disease_key,generic_name,brand_name,source_target_id,source_target,expected_fields,thai_query,english_query,required_to_unlock,status
longsrc_51ee729b0077,product,A,BDS040078,,,Amoxicillin,A.M.Mox 500 [Amoxicillin 500 mg.],thai_fda_smpc_pil,Thai FDA / Ref. SmPC / Ref. PIL,"Thai product registration, strength, form, route, label cautions",Amoxicillin A.M.Mox 500 [Amoxicillin 500 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin capsule official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_22d46261676a,product,A,BDS040078,,,Amoxicillin,A.M.Mox 500 [Amoxicillin 500 mg.],thai_ndi_nlem,Thai NDI / NLEM,Thailand formulary or national-list status and local medicine context,Amoxicillin A.M.Mox 500 [Amoxicillin 500 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin capsule official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_2f9235e4a053,product,A,BDS040078,,,Amoxicillin,A.M.Mox 500 [Amoxicillin 500 mg.],official_label,DailyMed/FDA/eMC/EMA/TGA/Medsafe/Health Canada,"composition, strength, form, route, contraindications, precautions, side effects, interactions, pregnancy/lactation, renal/hepatic cautions",Amoxicillin A.M.Mox 500 [Amoxicillin 500 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin capsule official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_e5da9d1b0b7e,product,A,BDS001103,,,Amoxicillin + Clavulanic Acid,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],thai_fda_smpc_pil,Thai FDA / Ref. SmPC / Ref. PIL,"Thai product registration, strength, form, route, label cautions",Amoxicillin + Clavulanic Acid AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin + Clavulanic Acid tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_219eafa28042,product,A,BDS001103,,,Amoxicillin + Clavulanic Acid,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],thai_ndi_nlem,Thai NDI / NLEM,Thailand formulary or national-list status and local medicine context,Amoxicillin + Clavulanic Acid AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin + Clavulanic Acid tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_85da97db139a,product,A,BDS001103,,,Amoxicillin + Clavulanic Acid,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],official_label,DailyMed/FDA/eMC/EMA/TGA/Medsafe/Health Canada,"composition, strength, form, route, contraindications, precautions, side effects, interactions, pregnancy/lactation, renal/hepatic cautions",Amoxicillin + Clavulanic Acid AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin + Clavulanic Acid tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_923236dc328a,product,A,BDS001035,,,Amoxicillin + Clavulanic Acid,Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],thai_fda_smpc_pil,Thai FDA / Ref. SmPC / Ref. PIL,"Thai product registration, strength, form, route, label cautions",Amoxicillin + Clavulanic Acid Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin + Clavulanic Acid tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_5020e5f7a005,product,A,BDS001035,,,Amoxicillin + Clavulanic Acid,Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],thai_ndi_nlem,Thai NDI / NLEM,Thailand formulary or national-list status and local medicine context,Amoxicillin + Clavulanic Acid Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin + Clavulanic Acid tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_f206093869a2,product,A,BDS001035,,,Amoxicillin + Clavulanic Acid,Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],official_label,DailyMed/FDA/eMC/EMA/TGA/Medsafe/Health Canada,"composition, strength, form, route, contraindications, precautions, side effects, interactions, pregnancy/lactation, renal/hepatic cautions",Amoxicillin + Clavulanic Acid Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.] Thai FDA NDI NLEM SmPC,Amoxicillin + Clavulanic Acid tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
longsrc_5474c2c5bd00,product,A,BDS040017,,,Amoxicillin Trihydrate + Clavulanic Potassium,Augmentin 1 g. [Amoxicillin Trihydrate (eq. to Amoxicillin 875 mg.)+Clavulanic Potassium (eq. to Clavulanic Acid 125 mg.)],thai_fda_smpc_pil,Thai FDA / Ref. SmPC / Ref. PIL,"Thai product registration, strength, form, route, label cautions",Amoxicillin Trihydrate + Clavulanic Potassium Augmentin 1 g. [Amoxicillin Trihydrate (eq. to Amoxicillin 875 mg.)+Clavulanic Potassium (eq. to Clavulanic Acid 125 mg.)] Thai FDA NDI NLEM SmPC,Amoxicillin Trihydrate + Clavulanic Potassium tablet official label contraindications adverse reactions interactions,product metadata/safety; not enough alone for disease regimen,queued
