disease_key,claim_type,source_id,source_title,source_url,proof_status,evidence_snippet,next_action
common_cold_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
common_cold_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
common_cold_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_dry_cough_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_dry_cough_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_dry_cough_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_sneezing_runny_nose_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_sneezing_runny_nose_adult,line_of_treatment,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
uri_sneezing_runny_nose_adult,no_antibiotic_criteria,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
post_viral_cough_adult,disease_strategy,cdc_common_cold_treatment_2026,Manage Common Cold,https://www.cdc.gov/common-cold/treatment/index.html,source_backed_no_antibiotic_supportive_care,The common cold has no cure but should improve on its own. Antibiotics don't work against viruses and won't help you feel better.,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported
